experience,median_integration_time,component,platform,severity,priority,description_size,hascode,bug_id,files,comments,tossing,activities,comments_interval,churn,fix_time,workload,creation_to_release,days,delay,resolver,entire_int_rate,prev_int_rate,coming_from_prev,has_stack,resolver_experience,rank_ratio,active_developers,release_size,class,class2
178,0,Core,'PC Windows 2000',normal,P3,81,false,25396,1,4,1,5,24.33333333,5,2,153,1,370,3,Philipe Mulet,0,0,34,false,262,0.844262295,10,548,1,after-3-or-more
918,0,Core,'PC Windows 2000',normal,P3,82,false,25433,1,4,1,5,152.3333333,2,0,152,1,370,3,Philipe Mulet,0,0,34,false,261,0.838797814,10,548,1,after-3-or-more
238,0,Core,'PC Linux',normal,P2,126,true,25520,1,6,1,7,81.6,2,0,161,1,368,3,Philipe Mulet,0,0,34,false,263,0.887978142,10,548,1,after-3-or-more
951,0,Core,'PC Windows 2000',normal,P3,26,false,25539,2,3,0,3,12,117,1,168,1,367,3,Jerome Lanneluc,0,0,34,false,178,0.928961749,10,548,1,after-3-or-more
238,0,Core,'PC Linux',normal,P2,199,true,25591,2,3,1,6,156,13,0,169,1,367,3,David Audel,0,0,34,true,90,0.93442623,10,548,1,after-3-or-more
112,0,Core,'PC Windows 2000',normal,P3,32,true,25687,1,3,0,4,108,3,0,173,1,363,3,David Audel,0,0,34,false,91,0.956284153,10,548,1,after-3-or-more
346,0,Core,'PC Windows 2000',critical,P3,26,false,25688,1,4,1,7,72,9,0,174,1,363,3,Olivier Thomann,0,0,34,false,207,0.961748634,10,548,1,after-3-or-more
346,0,Core,'PC Windows 2000',normal,P3,48,true,25735,1,5,0,4,48,20,0,176,1,362,3,JDT-Core-Inbox,0,0,34,false,3,0.972677596,10,548,1,after-3-or-more
112,0,Core,'PC Windows 2000',normal,P3,38,false,25815,1,3,1,5,72,5,0,180,1,360,3,David Audel,0,0,34,false,96,0.994535519,10,548,1,after-3-or-more
112,0,Core,'PC Windows 2000',enhancement,P3,60,true,25885,1,3,0,4,60,6,0,184,0,359,2,David Audel,0,0,178,false,98,0.345749761,10,548,1,after-2
444,0,Core,'PC Windows 2000',normal,P3,30,false,25888,1,3,1,5,468,11,9,201,0,349,2,David Audel,0,0,178,false,99,0.380133715,10,548,1,after-2
