experience,median_integration_time,component,platform,priority,description_size,hascode,files,activities,comments,tossing,comments_interval,churn,fix_time,workload,bug_id,delay,days,release_delay,resolver_experience,has_stack,resolver,rank_ratio,entire_int_rate,prev_int_rate,coming_from_prev,active_developers,release_size,class,class2
6,3,Persistence,All,P3,628,false,1,6,5,0,75350.75,2,3,87,397,3,968,3,82,true,issues@argouml,0.230352304,0,0,0,26,521,1,after-3-or-more
2,0,'Class Diagram',Linux,P3,200,false,3,10,7,0,50233.66667,103,12,94,402,3,955,3,89,false,issues@argouml,0.25203252,0,0,0,26,521,1,after-3-or-more
46,3,Other,'Windows 2000',P3,26,false,3,5,6,0,60280.6,33,1,93,408,3,963,3,0,false,thierrylach,0.246612466,0,0,0,26,521,1,after-3-or-more
54,4,Persistence,other,P1,18,false,24,25,45,2,7768.772727,1404,2067,77,412,0,426,0,34,false,andrea_nironi,0.177057357,0.981481481,0.981481481,3,24,383,1,next
6,3,'CodeGeneration and ReverseEngineering',Linux,P3,149,false,3,6,5,0,75351,71,0,92,415,3,963,3,87,false,issues@argouml,0.243902439,0,0,0,26,521,1,after-3-or-more
1,0,'Class Diagram',All,P2,81,true,2,15,11,1,34184.2,18,1972,44,440,0,509,0,141,false,tfmorris,0.094763092,0.981481481,0.981481481,3,24,383,1,next
62,2,Persistence,Linux,P1,138,false,2,6,7,0,50233.83333,80,21,109,455,3,927,3,1,true,andreas,0.2899729,0,0,0,26,521,1,after-3-or-more
140,2,'Usecase Diagram',other,P5,22,false,3,7,6,0,58482.8,30,414,431,461,1,305,1,533,false,issues@argouml,0.715240642,0,0,222,15,392,1,after-1
54,2,Persistence,other,P3,26,false,7,5,10,0,32639.22222,82,411,419,464,1,307,1,524,false,issues@argouml,0.701871658,0,0,222,15,392,1,after-1
46,3.5,Other,All,P5,23,false,5,16,31,1,11307.7,260,1035,109,471,0,194,0,17,false,linus,0.195965418,0,0,47,19,345,1,next
140,3,'Usecase Diagram',All,P5,27,false,5,6,11,0,30140,147,77,131,479,3,866,3,126,false,issues@argouml,0.349593496,0,0,0,26,521,1,after-3-or-more
46,3,Other,All,P5,64,false,195,10,22,1,15848.33333,3902,229,163,482,3,714,3,5,false,thierrylach,0.531165312,0,0,0,26,521,1,after-3-or-more
140,2,'Class Diagram',Linux,P5,45,false,3,10,7,0,48735.83333,297,347,328,487,1,368,1,448,false,issues@argouml,0.588235294,0,0,222,15,392,1,after-1
54,3,Persistence,All,P3,17,false,3,14,9,0,38249.625,54,616,653,493,1,326,1,742,false,issues@argouml,0.846478873,0.014975042,0.023746702,592,26,521,1,after-1
54,0,'CodeGeneration and ReverseEngineering',other,P3,89,false,1,5,6,0,58751,35,236,165,495,1,370,1,222,false,issues@argouml,0.552845528,0,0,0,2,9,1,after-1
2,4,'Class Diagram',Linux,P3,92,false,2,8,7,1,56974,18,1963,45,501,0,509,0,142,false,tfmorris,0.097256858,0.981481481,0.981481481,3,24,383,1,next
12,4,'Documentation and Help','Windows 2000',P3,159,false,1,18,16,0,22187.66667,25,1179,355,502,0,46,0,1087,false,issues@argouml,0.930835735,0,0,47,19,345,0,next
54,3,'CodeGeneration and ReverseEngineering',All,P3,39,false,1,6,7,0,50233.66667,238,164,140,511,3,774,3,165,false,issues@argouml,0.37398374,0,0,0,26,521,1,after-3-or-more
54,3,'CodeGeneration and ReverseEngineering',other,P3,27,false,5,6,6,0,60280.4,196,13,111,512,3,925,3,102,false,issues@argouml,0.295392954,0,0,0,26,521,1,after-3-or-more
54,3,'State and Activity Diagram',other,P3,56,false,10,11,9,0,38249.625,895,884,507,519,0,53,0,882,false,issues@argouml,0.868173258,0.545070423,3.279661017,323,26,521,0,next
140,4,'Class Diagram',All,P4,174,false,6,13,22,1,16277.95238,118,2426,361,535,0,31,0,40,false,penyaskito,0.887780549,0.981481481,0.981481481,3,24,383,0,next
46,4,Other,All,P2,19,false,2,12,12,0,30857.90909,19,1289,128,537,0,206,0,1126,false,issues@argouml,0.221518987,0.979827089,1.133333333,7,20,482,1,next
54,3,'State and Activity Diagram',other,P3,45,false,10,10,6,0,61200,895,869,508,547,0,53,0,883,false,issues@argouml,0.870056497,0.545070423,3.279661017,323,26,521,0,next
140,4,'Class Diagram',All,P3,29,false,22,12,10,1,37982.66667,1990,1540,112,549,0,133,0,83,false,tfmorris,0.374531835,1,1.014989293,0,13,274,0,next
140,3,'Class Diagram',Linux,P5,31,false,1,6,6,0,60280.6,2,205,159,550,3,717,3,214,false,issues@argouml,0.517615176,0,0,0,26,521,1,after-3-or-more
140,3,'Class Diagram',All,P5,26,false,1,6,5,0,75350.75,13,375,386,556,2,547,2,496,false,issues@argouml,0.661764706,0,0,222,26,521,1,after-2
140,3,Critics,All,P5,22,false,1,7,5,0,76500,5,696,371,563,0,226,0,806,false,issues@argouml,0.610169492,0.545070423,3.279661017,323,26,521,1,next
148,2,'Class Diagram','Windows NT',P5,83,false,6,6,8,0,43057.28571,46,195,153,573,3,727,3,196,false,issues@argouml,0.468834688,0,0,0,26,521,1,after-3-or-more
115,2,'State and Activity Diagram','Windows ME',P3,65,false,5,4,8,0,41678.85714,606,348,355,577,1,345,1,471,false,issues@argouml,0.618983957,0,0,222,15,392,1,after-1
148,2,'Details Pane',other,P5,53,false,2,10,8,0,43210.57143,218,865,506,578,0,55,0,881,false,issues@argouml,0.866290019,0.545070423,3.279661017,323,26,521,0,next
140,2,'CodeGeneration and ReverseEngineering',All,P3,35,false,1,6,6,0,58482.8,8,293,290,588,1,395,1,414,false,issues@argouml,0.538770053,0,0,222,15,392,1,after-1
140,2,Other,All,P2,113,false,2,8,10,0,33999.88889,242,474,544,593,1,213,1,635,false,issues@argouml,0.854278075,0,0,222,15,392,1,after-1
140,3,'Class Diagram',All,P1,62,false,2,6,7,0,50233.66667,37,13,121,595,3,901,3,113,false,issues@argouml,0.322493225,0,0,0,26,521,1,after-3-or-more
140,3,Diagrams,All,P3,86,false,4,11,7,0,55470.16667,193,1018,119,598,0,181,0,957,false,issues@argouml,0.224783862,0,0,47,19,345,1,next
140,2,Other,All,P4,22,false,1,5,6,0,58483,205,381,425,599,1,306,1,528,false,issues@argouml,0.70855615,0,0,222,15,392,1,after-1
140,3,Other,All,P2,79,false,1,5,13,0,25116.58333,84,352,371,600,2,562,2,487,false,issues@argouml,0.640374332,0,0,222,26,521,1,after-2
140,4,Diagrams,All,P1,79,false,8,18,21,1,17092,427,1843,156,603,0,9,0,194,false,mvw,0.925925926,1,1,0,15,165,0,next
140,3,Critics,All,P4,15,false,2,6,6,0,60280.6,30,37,129,614,3,870,3,121,false,issues@argouml,0.344173442,0,0,0,26,521,1,after-3-or-more
140,4,Critics,All,P4,79,false,4,8,6,0,68369,13,1998,74,618,0,440,0,1286,false,issues@argouml,0.167082294,0.981481481,0.981481481,3,24,383,1,next
140,4,'Documentation and Help',All,P5,45,false,2,21,15,1,24245.42857,2,916,381,621,0,78,2,94,false,mvw,0.770042194,0.979827089,1.133333333,7,20,482,0,next
140,2,Critics,All,P4,118,false,1,5,4,0,97472,16,385,461,622,1,295,1,559,false,issues@argouml,0.754010695,0,0,222,15,392,1,after-1
140,2,Critics,All,P3,90,false,1,9,7,1,48737,0,374,450,642,1,299,1,1,false,d00mst,0.737967914,0,0,222,15,392,1,after-1
140,4,'Details Pane',All,P3,70,false,13,20,20,3,17865,514,1367,292,648,0,103,0,149,false,bobtarling,0.563291139,0.979827089,1.133333333,7,20,482,0,next
140,2,'OCL and Constraints',All,P3,43,false,1,12,10,0,33999.77778,5,215,195,649,2,457,2,1,false,oclbugs,0.701897019,0,0,0,15,392,1,after-2
140,3,Critics,All,P4,56,false,1,7,7,0,51000,1,671,370,654,0,226,0,805,false,issues@argouml,0.608286252,0.545070423,3.279661017,323,26,521,1,next
